plant_name_ferc1,installation_year,capacity_mw,years_in_sample,first_year,last_year
columbia,2001.0,162.8,10,2001,2010
mill creek_2003,2003.0,936.0,18,2003,2020
walter scott #4,2007.0,550.0,13,2011,2023
wygen 2,2008.0,95.0,12,2012,2023
plum point,2010.0,55.5,14,2010,2023
wy gen iii,2010.0,25.0,14,2010,2023
trimble county_2011_209,2011.0,725.0,12,2012,2023
buck_2011,2011.0,691.1,10,2011,2020
trimble county_2011_210,2011.0,679.0,12,2012,2023
turk (4),2012.0,523.6,12,2012,2023
virginia city,2012.0,820.0,12,2012,2023
